city_data_df Index,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
472,Hervey Bay,AU,72.41,broken clouds,-25.2986,152.8535,Hervey Bay Hotel
474,Pochutla,MX,84.81,clear sky,15.7432,-96.4661,Hotel El Patio
475,Rosita,NI,72.1,scattered clouds,13.9268,-84.4032,Hotel Ensueño
486,Pascagoula,US,73.45,clear sky,30.3658,-88.5561,Grand Magnolia
488,Piaçabuçu,BR,78.42,overcast clouds,-10.4056,-36.4344,O Leão
490,Manacapuru,BR,82.78,broken clouds,-3.2997,-60.6206,Novo Hotel
492,Basco,PH,78.66,broken clouds,20.4487,121.9702,Tawsen Hotel
499,Lakota,CI,71.91,clear sky,5.8528,-5.6883,Hôtel Gnoupalé
501,Port Blair,IN,79.09,broken clouds,11.6667,92.75,Andaman Ocean Breeze
502,Kingsville,US,81.01,scattered clouds,27.5159,-97.8561,Quality Inn Kingsville Hwy 77
507,Inhambane,MZ,75.63,scattered clouds,-23.865,35.3833,Hotel de Inhambane
511,Sainte-Rose,RE,77.0,light rain,-21.1298,55.7963,Matilona
522,Omboué,GA,78.22,light rain,-1.5746,9.2618,Georges Faustin Aurat
526,Santa Rosa,AR,87.06,clear sky,-36.6167,-64.2833,Residencial Tredi
529,Soyo,AO,78.24,overcast clouds,-6.1349,12.3689,Hotel Maria Teres
532,Diriamba,NI,79.88,clear sky,11.8584,-86.2388,Ecolodge Carazo
536,Filadelfia,CO,72.52,broken clouds,5.2961,-75.5612,Hotel Las Mellyz
538,Puerto Carreño,CO,85.98,few clouds,6.189,-67.4859,Carreño Plaza
539,Tagusao,PH,78.94,overcast clouds,9.1924,117.8141,"Shaman's Breath- Beach, Bed & Breakfast"
541,São Lourenço do Sul,BR,74.43,clear sky,-31.3653,-51.9783,HOTEL VILELA
549,Almeirim,BR,80.76,scattered clouds,-1.5233,-52.5817,Kapejar Hotel
550,Cairns,AU,86.11,overcast clouds,-16.9167,145.7667,Cairns Queens Court Accommodation
571,Vila Velha,BR,80.55,broken clouds,-20.3297,-40.2925,Hotel Prainha
580,Mormugao,IN,70.86,broken clouds,15.4,73.8,Hotel Rukhmini
583,Coari,BR,80.08,overcast clouds,-4.085,-63.1414,Hotel Saúde
586,Tonantins,BR,74.21,broken clouds,-2.8731,-67.8022,Red Davi
587,Conakry,GN,81.61,clear sky,9.538,-13.6773,Hotel del Fanta (sleazy but rooms for 100k or even less)
589,Fare,PF,80.11,scattered clouds,-16.7,-151.0167,hôtel Maitai Lapita Village
608,Mangochi,MW,71.06,light rain,-14.4782,35.2645,Fort Johnson Lodge
609,Port-Gentil,GA,82.36,thunderstorm,-0.7193,8.7815,Tara-Mé
614,Dapaong,TG,76.24,clear sky,10.8639,0.205,La Residenze
616,Guiglo,CI,72.1,scattered clouds,6.5456,-7.4966,Hôtel Gbaoly 2
619,Alta Floresta,BR,72.1,overcast clouds,-9.8756,-56.0861,Villas Hotel
621,Antalaha,MG,72.23,light rain,-14.9003,50.2788,Hôtel Florida
626,Mackay,AU,83.68,overcast clouds,-21.15,149.2,Mackay Oceanside Central Apartment Hotel
628,Santa Luzia,BR,83.3,few clouds,-19.7697,-43.8514,Alcoboca
630,Toamasina,MG,73.4,light rain,-18.1667,49.3833,Androranga
631,Maragogi,BR,78.89,few clouds,-9.0122,-35.2225,Pousada Mariluz
632,Kampot,KH,78.85,overcast clouds,10.6167,104.1833,Sambor Sambat Guesthouse
636,Buchanan,LR,79.09,scattered clouds,5.8808,-10.0467,Phillipmena's Guesthouse
642,Margate,ZA,72.95,broken clouds,-30.8636,30.3705,Margate
645,Hambantota,LK,76.19,moderate rain,6.1241,81.1185,Oasis Aurweda Resort Hambathota
648,Todos Santos,MX,78.44,clear sky,23.45,-110.2167,Hotel Casa Tota
651,Jaguarão,BR,79.56,few clouds,-32.5661,-53.3758,Hotel Sinuelo
652,Kuah,MY,77.0,few clouds,6.3265,99.8432,Langkawi Budget Inn
653,Christchurch,NZ,76.32,overcast clouds,-43.5333,172.6333,Ibis Hotel Christchurch
655,Mayumba,GA,77.38,overcast clouds,-3.432,10.6554,Résidence Hôtelière Fabso
658,Cam Ranh,VN,75.16,few clouds,11.9214,109.1591,Khách sạn Thái Bình
661,Takoradze,GH,80.11,clear sky,4.8845,-1.7554,Hillcrest
