City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
100,Quelimane,MZ,2022-12-06 20:39:07,-17.8786,36.8883,82.35,78,75,17.27
101,Tororo,UG,2022-12-06 20:39:08,0.693,34.1809,64.22,81,99,5.14
102,Kandrian,PG,2022-12-06 20:39:09,-6.2167,149.55,78.06,87,100,2.53
103,Lata,PT,2022-12-06 20:39:10,40.1629,-8.3327,54.07,94,100,2.66
104,Leningradskiy,RU,2022-12-06 20:39:11,69.3833,178.4167,-3.71,92,20,7.2
105,Bambous Virieux,MU,2022-12-06 20:39:12,-20.3428,57.7575,77.25,83,75,11.5
106,Saskylakh,RU,2022-12-06 20:39:13,71.9167,114.0833,-6.77,98,100,8.52
107,Brenham,US,2022-12-06 20:39:15,30.1669,-96.3977,81.36,68,100,10.36
108,Mar Del Plata,AR,2022-12-06 20:39:16,-38.0023,-57.5575,76.82,76,40,14.97
109,Fortuna,US,2022-12-06 20:39:17,40.5982,-124.1573,55.92,80,0,3.44
110,Nikolskoye,RU,2022-12-06 20:39:17,59.7035,30.7861,21.09,92,100,8.93
111,Sao Filipe,CV,2022-12-06 20:39:18,14.8961,-24.4956,73.63,74,56,6.06
112,Upernavik,GL,2022-12-06 20:39:19,72.7868,-56.1549,29.77,97,100,18.41
113,Clinton,US,2022-12-06 20:36:13,42.587,-82.9199,46.42,79,100,4.61
114,Dongsheng,CN,2022-12-06 20:39:21,39.8161,109.9776,19.04,34,3,4.29
115,Kabo,CF,2022-12-06 20:39:22,7.6994,18.629,78.35,25,22,6.78
116,Nerang,AU,2022-12-06 20:39:24,-27.9833,153.3333,74.59,92,54,1.01
117,Port Alfred,ZA,2022-12-06 20:39:24,-33.5906,26.891,63.18,89,1,1.01
118,Khatanga,RU,2022-12-06 20:39:27,71.9667,102.5,-2.51,96,100,12.71
119,Thompson,CA,2022-12-06 20:39:28,55.7435,-97.8558,-14.64,70,20,6.91
