City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
380,Lālganj,IN,25.8667,85.1833,55.35,52,3,4.12,clear sky
381,Ndago,TZ,-4.6,34.35,68.43,67,97,2.84,light rain
382,Abonnema,NG,4.7084,6.7931,80.89,81,7,5.1,clear sky
383,Chico,US,39.7285,-121.8375,51.69,76,100,17.27,overcast clouds
384,Iringa,TZ,-7.7667,35.7,65.52,60,20,0.0,few clouds
385,Gamboula,CF,4.1178,15.1393,69.84,63,12,0.25,few clouds
386,Arman',RU,59.7,150.1667,-7.82,95,87,7.63,overcast clouds
387,Salalah,OM,17.0151,54.0924,71.69,56,0,6.91,clear sky
388,Mnogovershinnyy,RU,53.9353,139.9242,-10.3,95,17,3.38,few clouds
389,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,1.99,72,20,11.18,few clouds
390,Kununurra,AU,-15.7667,128.7333,85.98,79,90,6.91,overcast clouds
391,Bonthe,SL,7.5264,-12.505,80.37,78,41,6.26,scattered clouds
392,Nanjangūd,IN,12.1197,76.6828,60.89,90,100,5.32,overcast clouds
393,Hūn,LY,29.1268,15.9477,69.28,25,0,6.04,clear sky
394,Pemangkat,ID,1.1667,108.9667,76.37,89,96,6.6,light rain
395,Sinnamary,GF,5.3833,-52.95,77.76,85,100,6.98,overcast clouds
396,Nieuw Amsterdam,SR,5.8833,-55.0833,82.42,74,20,4.61,few clouds
397,Sabang,ID,5.8933,95.3214,80.28,77,100,11.74,overcast clouds
398,Maxixe,MZ,-23.8597,35.3472,74.57,76,29,7.18,scattered clouds
399,Dubrovnik,HR,42.6481,18.0922,62.24,94,75,18.41,broken clouds
400,Yining,CN,29.0361,114.5636,42.31,91,0,1.48,clear sky
401,Slave Lake,CA,55.2834,-114.769,15.78,79,0,4.61,clear sky
402,Teseney,ER,15.11,36.6575,70.18,74,0,9.4,clear sky
403,Dakoro,NE,14.5106,6.765,66.74,14,3,11.7,clear sky
404,Luanda,AO,-8.8368,13.2343,77.63,83,93,5.1,overcast clouds
405,Loandjili,CG,-4.7561,11.8578,76.59,89,92,1.21,light rain
406,Bella Union,UY,-30.2752,-57.6007,93.61,17,23,6.89,few clouds
407,Meulaboh,ID,4.1363,96.1285,75.7,83,100,4.56,overcast clouds
408,Concepción del Oro,MX,24.6333,-101.4167,66.47,26,6,9.37,clear sky
409,Tartagal,AR,-22.5164,-63.8013,78.73,60,63,10.27,broken clouds
410,Puerto Escondido,MX,15.85,-97.0667,85.03,65,20,2.3,few clouds
411,Chapais,CA,49.7834,-74.8492,-2.42,99,8,3.89,clear sky
412,Grand Gaube,MU,-20.0064,57.6608,77.4,78,60,3.0,broken clouds
413,Cody,US,44.5263,-109.0565,37.62,42,0,9.22,clear sky
414,Olinda,BR,-8.0089,-34.8553,80.33,74,40,8.05,scattered clouds
415,Somerset,US,40.5668,-74.5496,43.84,58,0,3.44,clear sky
416,Kabalo,CD,-6.05,26.9167,66.63,98,97,0.56,overcast clouds
417,Atambua,ID,-9.1061,124.8925,77.99,74,100,0.63,overcast clouds
418,Port Hedland,AU,-20.3167,118.5667,78.85,57,1,5.75,clear sky
419,Aguçadoura,PT,41.4318,-8.7804,54.32,86,10,8.57,clear sky
420,Ust'-Barguzin,RU,53.45,108.9833,19.15,68,100,11.25,overcast clouds
421,Taoudenni,ML,22.6783,-3.9836,77.68,15,26,7.96,scattered clouds
422,Iranshahr,IR,27.2025,60.6848,60.76,41,86,4.29,overcast clouds
423,Gadung,PH,6.8025,124.02,78.76,79,85,3.2,overcast clouds
424,Boa Vista,BR,2.8197,-60.6733,84.18,65,40,3.44,scattered clouds
425,Ajdabiya,LY,30.7554,20.2263,64.72,52,0,7.38,clear sky
426,Ambilobe,MG,-13.2,49.05,74.17,90,5,1.32,clear sky
427,Las Tunas,CU,20.9617,-76.9511,72.99,76,2,10.38,clear sky
428,Klaksvík,FO,62.2266,-6.589,38.32,71,100,29.68,light rain
429,Nampula,MZ,-15.1165,39.2666,75.15,78,75,4.61,broken clouds
430,Moss Vale,AU,-34.55,150.3833,60.15,46,7,3.24,clear sky
431,Aquiraz,BR,-3.9014,-38.3911,81.18,80,10,11.5,clear sky
432,Khāsh,IR,28.2211,61.2158,41.29,69,68,5.95,broken clouds
433,Golpāyegān,IR,33.4537,50.2884,35.71,86,99,3.33,overcast clouds
434,Emba,KZ,48.8264,58.1442,0.45,94,5,1.21,clear sky
435,Araouane,ML,18.9048,-3.5265,73.0,12,0,7.45,clear sky
436,Yantal',RU,56.8471,105.2542,12.4,91,100,12.77,overcast clouds
437,Mhlume,SZ,-26.0333,31.85,79.83,94,8,2.17,clear sky
438,Keti Bandar,PK,24.1447,67.4497,73.4,69,0,7.58,clear sky
439,Krasnyy Profintern,RU,57.7446,40.435,21.22,97,100,4.9,overcast clouds
440,Luís Correia,BR,-2.8792,-41.6669,84.2,74,0,20.71,clear sky
441,Ishigaki,JP,24.3448,124.1572,71.73,88,75,19.57,broken clouds
442,Gao,ML,16.6362,1.637,69.31,13,0,11.54,clear sky
443,Raahe,FI,64.6833,24.4833,19.49,95,99,11.92,overcast clouds
444,Badou,TG,7.5833,0.6,76.95,61,35,2.44,scattered clouds
445,Vestmannaeyjar,IS,63.4427,-20.2734,34.72,57,0,6.58,clear sky
446,Camaçari,BR,-12.6975,-38.3242,80.37,86,100,9.62,overcast clouds
447,Keshabpur,BD,22.9183,89.2112,62.92,64,93,5.91,overcast clouds
448,Pisco,PE,-13.7,-76.2167,71.65,78,0,17.27,clear sky
449,Sept-Îles,CA,50.2001,-66.3821,14.52,65,20,8.05,few clouds
450,Dengzhou,CN,37.8086,120.7508,41.27,66,100,4.14,overcast clouds
451,Altamont,US,42.2068,-121.7372,34.39,87,100,5.99,snow
452,Port Shepstone,ZA,-30.7414,30.455,73.24,91,81,17.22,broken clouds
453,Goedereede,NL,51.8175,3.9806,33.98,93,32,6.64,scattered clouds
454,Ocampo,MX,21.65,-101.5,66.76,26,2,9.55,clear sky
455,Truth or Consequences,US,33.1284,-107.2528,59.92,38,0,3.44,clear sky
456,Maceió,BR,-9.6658,-35.7353,78.24,88,0,10.36,clear sky
457,Chipinge,ZW,-20.1883,32.6236,61.32,91,18,4.47,few clouds
